Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
Kuriakos TV,1_0_1_17B4_30_36_CE40000_0_0_0.png,kuriakostv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Kuriakos TV,1_0_1_9DD_2F_36_CE40000_0_0_0.png,kuriakostv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MCM POP,1_0_1_178E_26_36_CE40000_0_0_0.png,mcmpop.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MCM Pop,1_0_1_148_26_36_CE40000_0_0_0.png,mcmpop.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MCM TOP,1_0_1_17B7_30_36_CE40000_0_0_0.png,mcmtop.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MCM TOP,1_0_1_9D6_26_36_CE40000_0_0_0.png,mcmtop.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MTV 00s,1_0_1_138E_30_36_CE40000_0_0_0.png,mtv00s.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
MTV 00s,1_0_1_ED_30_36_CE40000_0_0_0.png,mtv00s.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Marginal,1_0_2_529_30_36_CE40000_0_0_0.png,marginal.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Marginal,1_0_2_126A_2F_36_CE40000_0_0_0.png,marginal.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Melodia FM,1_0_2_3_65_0_CE40000_0_0_0.png,melodiafm.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Mezzo,1_0_1_138F_30_36_CE40000_0_0_0.png,mezzo.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Mezzo,1_0_1_9D7_26_36_CE40000_0_0_0.png,mezzo.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Mezzo,1_0_1_EE3_26_36_CE40000_0_0_0.png,mezzo.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Mezzo,1_0_1_EE_30_36_CE40000_0_0_0.png,mezzo.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Motorvision,1_0_1_51A_2F_36_CE40000_0_0_0.png,motorvision.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NAIZ irratia,1_0_2_3E9_6_6_CE40000_0_0_0.png,naizirratia.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NBA TV HD,1_0_1_1796_27_36_CE40000_0_0_0.png,nbatvhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NHK World Japan,1_0_1_17A9_2F_36_CE40000_0_0_0.png,nhkworldjapan.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NOS Studios HD,1_0_1_1261_2F_36_CE40000_0_0_0.png,nosstudioshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NOS Studios HD,1_0_1_6081_2F_36_CE40000_0_0_0.png,nosstudioshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NOS Studios HD,1_0_1_12F1_30_36_CE40000_0_0_0.png,nosstudioshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NOS Studios HD,1_0_1_12F2_30_36_CE40000_0_0_0.png,nosstudioshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
National Geographic HD,1_0_1_125E_2F_36_CE40000_0_0_0.png,nationalgeographichd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
National Geographic HD,1_0_1_17C5_2F_36_CE40000_0_0_0.png,nationalgeographichd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
National Geographic WILD,1_0_1_1CF_27_36_CE40000_0_0_0.png,nationalgeographicwild.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
National Geographic Wild,1_0_1_1799_27_36_CE40000_0_0_0.png,nationalgeographicwild.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
News Now,1_0_1_17A5_2F_36_CE40000_0_0_0.png,newsnow.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
NewsNOW,1_0_1_51D_2F_36_CE40000_0_0_0.png,newsnow.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Nick Jr.,1_0_1_330_2F_36_CE40000_0_0_0.png,nickjr.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Nick Jr.,1_0_1_17CA_2F_36_CE40000_0_0_0.png,nickjr.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Nickelodeon,1_0_1_328_2F_36_CE40000_0_0_0.png,nickelodeon.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Nickelodeon,1_0_1_17A1_2F_36_CE40000_0_0_0.png,nickelodeon.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Odisseia,1_0_1_13E_26_36_CE40000_0_0_0.png,odisseia.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Odisseia,1_0_1_1786_26_36_CE40000_0_0_0.png,odisseia.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Onda Cero,1_0_2_1_65_0_CE40000_0_0_0.png,ondacero.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
