Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
12084V SID 0x3f0,1_0_C_3F0_EA68_0_CE40000_0_0_0.png,12084vsid0x3f0.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12084V SID 0xfffe,1_0_C_FFFE_EA68_0_CE40000_0_0_0.png,12084vsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12360H SID 0x0d,1_0_C_D_26_36_CE40000_0_0_0.png,12360hsid0x0d.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12360H SID 0x13,1_0_C_13_26_36_CE40000_0_0_0.png,12360hsid0x13.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12360H SID 0x14,1_0_C_14_26_36_CE40000_0_0_0.png,12360hsid0x14.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12360H SID 0x19,1_0_C_19_26_36_CE40000_0_0_0.png,12360hsid0x19.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12437H SID 0x12,1_0_C_12_2F_36_CE40000_0_0_0.png,12437hsid0x12.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12437H SID 0x17a6,1_0_2_17A6_2F_36_CE40000_0_0_0.png,12437hsid0x17a6.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12476H SID 0x17ac,1_0_2_17AC_30_36_CE40000_0_0_0.png,12476hsid0x17ac.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12476H SID 0x17af,1_0_2_17AF_30_36_CE40000_0_0_0.png,12476hsid0x17af.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12476H SID 0x17b0,1_0_2_17B0_30_36_CE40000_0_0_0.png,12476hsid0x17b0.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12476H SID 0x17b1,1_0_2_17B1_30_36_CE40000_0_0_0.png,12476hsid0x17b1.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12548V SID 0x6a5,1_0_C_6A5_EA67_0_CE40000_0_0_0.png,12548vsid0x6a5.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12548V SID 0x6a6,1_0_C_6A6_EA67_0_CE40000_0_0_0.png,12548vsid0x6a6.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12548V SID 0x6a7,1_0_C_6A7_EA67_0_CE40000_0_0_0.png,12548vsid0x6a7.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12548V SID 0xfffe,1_0_C_FFFE_EA67_0_CE40000_0_0_0.png,12548vsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12631V SID 0x3e9,1_0_C_3E9_EA62_0_CE40000_0_0_0.png,12631vsid0x3e9.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12631V SID 0x3ea,1_0_C_3EA_EA62_0_CE40000_0_0_0.png,12631vsid0x3ea.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12631V SID 0x3eb,1_0_C_3EB_EA62_0_CE40000_0_0_0.png,12631vsid0x3eb.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12631V SID 0xfffe,1_0_C_FFFE_EA62_0_CE40000_0_0_0.png,12631vsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12671V SID 0x3e8,1_0_C_3E8_EA61_0_CE40000_0_0_0.png,12671vsid0x3e8.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12671V SID 0x3ec,1_0_C_3EC_EA61_0_CE40000_0_0_0.png,12671vsid0x3ec.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12671V SID 0x3ed,1_0_C_3ED_EA61_0_CE40000_0_0_0.png,12671vsid0x3ed.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
12671V SID 0x3ee,1_0_C_3EE_EA61_0_CE40000_0_0_0.png,12671vsid0x3ee.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
